property_id,sub_building_id,unit_type,lowest_observed_price,standard_lease_price,budget_lower_bound,comparison_status,budget_eligible,price_basis,comparison_policy,comparison_lease_months,availability_scope,comparison_note,sqft_min,source_url,trace_unit_id,trace_floorplan_id,trace_available_from,trace_lease_months,trace_rent_basis,trace_base_rent_min,trace_base_rent_max,trace_total_cost_min,trace_total_cost_max,trace_source_ref,trace_source_type,trace_retrieved_at,trace_checked_date,trace_in_unit_laundry,trace_private_kitchen_bath,trace_flooring_materials_json,trace_furnished_status,reviewed_feature_evidence_json
the-whit,,1br,2480,2480,2480,comparable,true,calculated_total,source_standard_lease,12,current_unit,Current official 12-month 1BR base rent plus the reviewed $15 mandatory trash fee,677,https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/,110,1-Bedroom 1-Bathroom 677 sqft,2026-08-18,12,per_unit,2465,2465,2480,2480,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""hard_surface""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""}}"
the-whit,,2br,3305,,,nonstandard_lease_only,false,calculated_total,none,,current_unit,Current visible 2BR planning reference uses a 15-month base rent plus the reviewed $15 mandatory trash fee; no 10/11/12-month basis is used,1350,https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/,,2-Bedroom 2-Bath w/ Loft 1350 sqft,2026-09-09,15,per_unit,3290,3290,3305,3305,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""hard_surface""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""}}"
the-taft,,studio,1850,1850,1850,comparable,true,official_total,source_standard_lease,12,current_unit,Current property-supplied total monthly price,424,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,08M,Studio,Available Now,12,per_unit,,,1850,1850,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,,yes,"[""hardwood""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""}}"
the-taft,,1br,1999,1999,1999,comparable,true,official_total,source_standard_lease,12,current_unit,Current property-supplied total monthly price,697,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,05S,"1-Bedroom, 1-Bath",Available Now,12,per_unit,,,1999,1999,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,"[""hardwood""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""docs/phase_c_evidence/the-taft_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""docs/phase_c_evidence/the-taft_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""docs/phase_c_evidence/the-taft_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
the-taft,,2br,2950,2950,2950,comparable,true,official_total,source_standard_lease,12,current_unit,Current property-supplied total monthly price,1200,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,01A,2-Bedroom Duplex,2026-08-15,12,per_unit,,,2950,2950,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,"[""hardwood""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""docs/phase_c_evidence/the-taft_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""docs/phase_c_evidence/the-taft_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx"",""sourceRef"":""docs/phase_c_evidence/the-taft_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,18_high,studio,2245,2370,2370,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,Studio,,12,per_unit,2245,2495,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/wp-content/uploads/2021/02/18High_Floorplans_Studio-3-4.pdf"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,crown_towers,studio,1895,1970,1970,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,Studio South,,12,per_unit,1895,2045,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,madison,studio,1695,1770,1770,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,Studio - Large,,12,per_unit,1695,1845,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,18_high,1br,2745,2920,2920,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,1 BD 1BA Standard,,12,per_unit,2745,3095,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/wp-content/uploads/2021/02/18High_Floorplans_1Bedrooms_All-1-1.pdf"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,crown_court,1br,1995,2095,2095,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,1 BD Standard,,12,per_unit,1995,2195,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,crown_towers,1br,2145,2220,2220,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,"1 BD, South",,12,per_unit,2145,2295,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,madison,1br,1975,2060,2060,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,1 BD - Large,,12,per_unit,1975,2145,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,18_high,2br,4095,4295,4295,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,2 BD 1 BA,,12,per_unit,4095,4495,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/wp-content/uploads/2021/02/18High_Floorplans_2Bedrooms-1-1-2-1-2.pdf"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,crown_court,2br,2895,3045,3045,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,2 BD 2 BA,,12,per_unit,2895,3195,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
new-haven-towers,madison,2br,2895,3045,3045,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,2 BD 2 BA,,12,per_unit,2895,3195,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,unknown,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://newhaventowers.com/floorplans/"",""sourceRef"":""docs/phase_c_evidence/new-haven-towers_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
the-archive,,studio,2232,2232,2232,policy_comparable,true,official_total,official_range_lower_bound_as_12_month,12,planning_range,Use the lowest official Total Monthly Leasing Price as the 12-month comparison price; current Studio availability is not confirmed,387,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,Sx1 A,,,per_unit,,,2232,2282,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unfurnished,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://www.thearchiveapts.com/images/Archive-Sample-Lease.pdf"",""sourceRef"":""Sample lease page 19, Terms and Conditions, Unit Details"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/"",""sourceRef"":""docs/phase_c_evidence/the-archive_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/"",""sourceRef"":""docs/phase_c_evidence/the-archive_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://thearchiveapts.com/faq"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
the-archive,,1br,2430,2430,2430,policy_comparable,true,official_total,official_range_lower_bound_as_12_month,12,current_floorplan,Use the lowest official Total Monthly Leasing Price as the 12-month comparison price,503,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,1x1 A,2026-08-12,,per_unit,,,2430,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unfurnished,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://www.thearchiveapts.com/images/Archive-Sample-Lease.pdf"",""sourceRef"":""Sample lease page 19, Terms and Conditions, Unit Details"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/"",""sourceRef"":""docs/phase_c_evidence/the-archive_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/"",""sourceRef"":""docs/phase_c_evidence/the-archive_2026-07-12.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://thearchiveapts.com/faq"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
